group,total_sample,sample_2018_no,sample_2017_no,two_sided_p_value,two_sided_t_statistic,two_sided_CI,Act_per_2018_Mean,Act_per_2017_Mean,two_sided_des,greater_p_value,greater_t_statistic,greater_CI,premium_2018_Mean,premium_2017_Mean,greater_des,y_2017,y_2018,y_score,not_equal_sig,greater_sig
"19-27_190,001-300,0000",239,135,104,0.0,3.81,"(0.7477701662821458, 2.34672746860621)",5.81,4.27,Two-Sample Welch's t-test,0.0,3.66,"(inf, 5351.2495163240455)",13421.47,9942.98,Two-Sample Welch's t-test,7.485752334506215,7.272377425847678,-0.2133749086585382,True,True
"46-52_130,000-190,000",227,144,83,0.0,5.54,"(1.4502738917254332, 3.05050302410027)",8.58,6.33,Two-Sample Welch's t-test,0.0,6.62,"(inf, 5457.266380772551)",13657.49,9451.95,Two-Sample Welch's t-test,4.0562979693847,6.025260544806434,1.9689625754217337,True,True
"46-52_1-60,000",214,58,156,0.0,18.86,"(9.56061364437058, 11.830955434484643)",19.4,8.7,Two-Sample Welch's t-test,0.0,21.47,"(inf, 6323.265102737672)",10283.83,4500.0,Two-Sample Welch's t-test,18.302731878274837,6.758256220286281,-11.544475657988558,True,True
"28-38_88,001-130,0000",197,135,62,0.0,4.7,"(1.0954185839124486, 2.682297671761824)",9.55,7.66,Two-Sample Welch's t-test,0.0,4.39,"(inf, 2877.452787965191)",10150.79,8165.32,Two-Sample Welch's t-test,3.569659732630547,6.409741953484413,2.8400822208538656,True,True
"1-18_190,001-300,0000",173,102,71,0.001,3.29,"(0.4129723697694295, 1.6508297898200106)",4.68,3.65,Two-Sample Welch's t-test,0.002,2.96,"(inf, 3618.7253006103065)",10618.09,8446.69,Two-Sample Welch's t-test,2.8819559326945328,4.807293466413928,1.9253375337193956,True,True
"39-45_130,000-190,000",171,125,46,0.0,6.57,"(2.3273673203513923, 4.328123193321765)",9.81,6.48,Two-Sample Welch's t-test,0.0,6.74,"(inf, 6964.036084171292)",15261.7,9876.54,Two-Sample Welch's t-test,1.8811691047721766,5.020756778590914,3.1395876738187374,True,True
"28-38_130,000-190,000",170,122,48,0.0,5.86,"(2.009510838261577, 4.053629994298217)",8.32,5.29,Two-Sample Welch's t-test,0.0,5.62,"(inf, 6338.045685515767)",13159.25,8468.75,Two-Sample Welch's t-test,2.323666044202359,5.996195130579868,3.6725290863775086,True,True
"46-52_190,001-300,0000",167,149,18,0.019,2.48,"(0.33922490656044846, 3.4708590287911507)",8.33,6.42,Two-Sample Welch's t-test,0.019,2.17,"(inf, 8302.428676553085)",19482.9,15208.33,Two-Sample Welch's t-test,0.9317684751223434,6.327326719979689,5.395558244857346,True,True
"28-38_190,001-300,0000",163,134,29,0.0,3.79,"(1.1078931753603198, 3.561167159325625)",8.01,5.68,Two-Sample Welch's t-test,0.0,3.84,"(inf, 8850.255685709368)",18640.78,12814.66,Two-Sample Welch's t-test,1.1773861264454246,5.484693829939017,4.307307703493592,True,True
"53+_1-60,000",160,43,117,0.0,23.7,"(11.012814977346501, 13.060689277320968)",20.57,8.53,Two-Sample Welch's t-test,0.0,30.36,"(inf, 6938.264450679104)",11005.81,4500.0,Two-Sample Welch's t-test,19.201312910284464,5.991183560369546,-13.210129349914917,True,True
"39-45_190,001-300,0000",149,124,25,0.003,3.07,"(0.7245128665596605, 3.4074326996471953)",8.7,6.63,Two-Sample Welch's t-test,0.001,3.33,"(inf, 8698.981387128539)",20186.67,14745.0,Two-Sample Welch's t-test,1.0213400996174058,4.522945045252904,3.5016049456354983,True,True
"19-27_300,001+",143,102,41,0.0,4.03,"(0.8526140036476066, 2.4958351795382425)",4.56,2.89,Two-Sample Welch's t-test,0.001,3.38,"(inf, 11456.237609302629)",20419.56,13200.0,Two-Sample Welch's t-test,2.602372111226307,7.65874917484759,5.056377063621283,True,True
"1-18_300,001+",105,59,46,0.01,2.62,"(0.21880878921217184, 1.585198729788876)",3.82,2.92,Two-Sample Welch's t-test,0.002,3.02,"(inf, 8682.929714686557)",18101.95,12863.8,Two-Sample Welch's t-test,1.8482650699500558,3.574582943568135,1.7263178736180793,True,True
"46-52_300,001+",100,87,13,0.47,0.73,"(-1.476204602418492, 3.1077664845720223)",8.06,7.24,Two-Sample Welch's t-test,0.076,1.47,"(inf, 24409.299068560096)",41883.91,31689.23,Two-Sample Welch's t-test,0.5857965912201155,3.638285615934626,3.052489024714511,False,False
"28-38_300,001+",85,73,12,0.103,-1.7,"(-3.312430027827989, 0.3259476642594228)",5.81,7.3,Two-Sample Welch's t-test,0.791,-0.83,"(inf, 4863.055641715602)",23711.25,26875.0,Two-Sample Welch's t-test,0.6152299809791875,2.6666919533804614,2.0514619724012735,False,False
"39-45_300,001+",73,60,13,0.234,1.21,"(-0.8314666212913835, 3.2739401126331487)",9.22,8.0,Two-Sample Welch's t-test,0.113,1.24,"(inf, 16551.096206079448)",39334.38,33086.54,Two-Sample Welch's t-test,0.629058386358513,2.4560238553473033,1.8269654689887904,False,False
19-27_E1,1528,772,756,0.0,6.9,"(0.58024367374869, 1.04163593015772)",4.7,3.89,Two-Sample Welch's t-test,0.0,10.36,"(inf, 2216.926989636739)",4860.25,2996.45,Two-Sample Welch's t-test,9.614395395917953,12.317029034569185,2.702633638651232,True,True
19-27_A1,1289,887,402,0.0,12.22,"(1.3505767018353587, 1.8672644551457378)",8.5,6.89,Two-Sample Welch's t-test,0.001,3.26,"(inf, 1736.3309296095495)",8042.84,6958.96,Two-Sample Welch's t-test,7.527749747729566,9.593932180824238,2.0661824330946725,True,True
1-18_E1,1271,681,590,0.0,9.48,"(0.9010272793673024, 1.3716130177993755)",5.19,4.05,Two-Sample Welch's t-test,0.0,6.44,"(inf, 1561.5365206592105)",4592.95,3395.92,Two-Sample Welch's t-test,9.135139164636035,10.968086717947854,1.8329475533118187,True,True
1-18_A1,1168,771,397,0.0,6.97,"(0.7015356493376126, 1.2510175571761606)",7.97,6.99,Two-Sample Welch's t-test,0.0,3.74,"(inf, 1539.4123240584106)",7073.93,6064.23,Two-Sample Welch's t-test,3.3081188037182843,6.623192101715909,3.3150732979976247,True,True
53+_A1,892,168,724,0.0,-16.17,"(-3.6898058436329357, -2.8882563118443665)",3.67,6.96,Two-Sample Welch's t-test,0.006,2.54,"(inf, 1914.2819415486058)",6696.43,5618.78,Two-Sample Welch's t-test,14.236220472440944,5.862122870095357,-8.374097602345588,True,True
46-52_A1,702,161,541,0.0,-18.06,"(-3.78109769252451, -3.0371734044279672)",3.87,7.28,Two-Sample Welch's t-test,0.043,1.73,"(inf, 1348.372862922884)",5841.61,5212.57,Two-Sample Welch's t-test,11.238641798182687,5.724981738495252,-5.513660059687435,True,True
53+_A2,573,418,155,0.0,21.41,"(5.249784341436296, 6.310076461323986)",13.59,7.81,Two-Sample Welch's t-test,0.476,0.06,"(inf, 1182.5764528560912)",12654.9,12619.35,Two-Sample Welch's t-test,4.854486397945033,4.843344950127899,-0.011141447817133998,True,False
